id,site_eui
75757,152.35396718775155
75758,234.09028518774863
75759,143.98862855038686
75760,231.99618286693823
75761,214.39777469542037
75762,228.75425333285847
75763,202.7251529972139
75764,233.8204253018112
75765,139.87815711914294
75766,291.793850247033
75767,122.4657151919734
75768,170.61629736640168
75769,395.8749923670596
75770,177.74370653134923
75771,103.33649453326865
75772,163.9712869429631
75773,211.62438266821107
75774,185.29632249525645
75775,281.94276750250344
75776,230.11126708984375
75777,193.673345593404
75778,219.6896082463586
75779,226.42576361697235
75780,259.3285794151673
75781,210.1665578172254
75782,204.4068852554895
75783,203.07151527696357
75784,100.39647693990065
75785,171.97330813780678
75786,271.8475314861894
75787,218.40843398367412
75788,198.03335707211357
75789,240.706800860574
75790,299.8377346665096
75791,172.4104909045205
75792,194.50595944222852
75793,191.4341653001951
75794,239.26650467594402
75795,218.2892954874996
75796,267.7774278771092
75797,268.5035108018542
75798,254.50525752406628
75799,219.28474111402056
75800,251.5551808934132
75801,232.40617745109176
75802,241.05157068703608
75803,197.4310828407555
75804,204.4217169703818
75805,33.87440709003033
75806,196.38773895540828
75807,104.73554375237217
75808,159.97962420542302
75809,123.28497730914188
75810,121.94551867144327
75811,300.0200486187731
75812,88.71774481155677
75813,253.5234721686698
75814,227.06924318761418
75815,133.52417964500648
75816,229.1491179348564
75817,153.4501190185547
75818,286.0976195482865
75819,310.6935426195847
75820,281.9710614036695
75821,196.56331492667232
75822,151.40057399165232
75823,195.67270652116554
75824,68.81997410462043
75825,187.72756002065938
75826,349.8104637273219
75827,30.97333357114104
75828,29.934215495708088
75829,47.46271933338113
75830,58.100662235419975
75831,28.265479129887524
75832,154.97974428697785
75833,66.45079680409174
75834,171.2953396185643
75835,143.83663196681573
75836,58.48009722003809
75837,40.283398269515544
75838,14.67029286209646
75839,25.410410534979064
75840,104.6115126561512
75841,321.9053695135402
75842,194.74446408042894
75843,29.720547895384982
75844,77.61124960523705
75845,146.02692061864633
75846,30.855916490938398
75847,74.2684489085915
75848,27.675782114546507
75849,50.14107303165764
75850,232.14273232200946
75851,76.4823008882367
75852,112.996650818717
75853,99.66014676439744
75854,187.85952183182513
75855,24.717599730945892
75856,43.83224993683643
75857,46.02956000871188
75858,34.31996564075757
75859,115.88297319365785
75860,80.16055096225153
75861,37.166412353515625
75862,20.219593999578592
75863,23.846348077824757
75864,22.43969492448207
75865,18.547413470516858
75866,37.60191134335304
75867,25.92549162595128
75868,23.045027158818016
75869,15.84411104815797
75870,68.27488184221244
75871,35.40156877914745
75872,82.44573468476705
75873,91.79552459716797
75874,56.1366571159914
75875,68.72631252524184
75876,66.56536200869209
75877,48.34198210333756
75878,53.79355408980217
75879,103.44467215941648
75880,69.85628546777076
75881,61.61217274839146
75882,78.10087478017107
75883,98.0638462460717
75884,83.9061508178711
75885,97.7227171111333
75886,19.442653644630752
75887,30.106996536254883
75888,52.86753073660191
75889,12.453459016375575
75890,62.30718928029722
75891,71.9971449880968
75892,14.15231093197508
75893,23.97868986209346
75894,25.492534988128398
75895,116.75435993071937
75896,68.84044622456747
75897,30.220010957026602
75898,48.092764387562
75899,43.6491791793033
75900,48.87091564929011
75901,31.094936979759268
75902,45.420696828928214
75903,64.29306542170474
75904,39.55227668965074
75905,63.04377447613933
75906,25.3539868390273
